id	Site
389	Brothers_Diffuse_S009_NODE_6273_length_2949_cov_80.610206
1535	Brothers_Diffuse_S009_NODE_6677_length_2863_cov_0.784357
1536	Brothers_Diffuse_S015_NODE_10_length_48499_cov_4.785372
1537	Brothers_Diffuse_S015_NODE_121217_length_1454_cov_0.611907
1538	Brothers_Diffuse_S015_NODE_1270_length_8731_cov_7.660623
1539	Brothers_Diffuse_S015_NODE_13076_length_3494_cov_3.650728
1540	Brothers_Diffuse_S015_NODE_130852_length_1412_cov_3.525292
1541	Brothers_Diffuse_S015_NODE_149463_length_1343_cov_2.949013
784	Brothers_Diffuse_S015_NODE_153886_length_1329_cov_1.039933
598	Brothers_Diffuse_S015_NODE_159237_length_1312_cov_1.462447
1541	Brothers_Diffuse_S015_NODE_204847_length_1190_cov_1.500470
2812	Brothers_Diffuse_S015_NODE_28536_length_2535_cov_1.107558
203	Brothers_Diffuse_S015_NODE_42310_length_2169_cov_0.857493
1539	Brothers_Diffuse_S015_NODE_4739_length_5257_cov_29.902144
1431	Brothers_Diffuse_S015_NODE_5210_length_5058_cov_4.064084
655	Brothers_Diffuse_S015_NODE_52570_length_1992_cov_1.364075
1538	Brothers_Diffuse_S015_NODE_787_length_10260_cov_8.382118
1540	Brothers_Diffuse_S015_NODE_78938_length_1707_cov_2.320886
1542	Brothers_Diffuse_S015_NODE_86765_length_1649_cov_0.651774
2319	Brothers_Diffuse_S015_NODE_9219_length_4010_cov_1.708730
2813	Brothers_Diffuse_S015_NODE_9881_length_3902_cov_4.447947
415	Brothers_LC_S014_NODE_10359_length_4480_cov_2.928785
1543	Brothers_LC_S014_NODE_10672_length_4409_cov_4.948622
1544	Brothers_LC_S014_NODE_11120_length_4311_cov_43.536329
848	Brothers_LC_S014_NODE_14054_length_3831_cov_1.987311
204	Brothers_LC_S014_NODE_14717_length_3739_cov_3.110188
1545	Brothers_LC_S014_NODE_15612_length_3628_cov_9.393602
2320	Brothers_LC_S014_NODE_15621_length_3627_cov_7.204571
1546	Brothers_LC_S014_NODE_15713_length_3614_cov_3.084600
849	Brothers_LC_S014_NODE_166_length_30837_cov_28.727613
1547	Brothers_LC_S014_NODE_17119_length_3451_cov_8.256919
1548	Brothers_LC_S014_NODE_17131_length_3450_cov_2.134216
2322	Brothers_LC_S014_NODE_17207_length_3443_cov_2.419180
203	Brothers_LC_S014_NODE_190_length_29528_cov_163.593755
2814	Brothers_LC_S014_NODE_19530_length_3214_cov_3.438614
416	Brothers_LC_S014_NODE_207_length_27938_cov_102.665888
1549	Brothers_LC_S014_NODE_21927_length_3016_cov_7.914503
1550	Brothers_LC_S014_NODE_22432_length_2978_cov_181.223781
2323	Brothers_LC_S014_NODE_2293_length_9639_cov_2.843776
2324	Brothers_LC_S014_NODE_23640_length_2895_cov_1.155708
1552	Brothers_LC_S014_NODE_251_length_26119_cov_14.123423
2325	Brothers_LC_S014_NODE_25137_length_2800_cov_2.372241
1551	Brothers_LC_S014_NODE_25193_length_2797_cov_0.922472
2326	Brothers_LC_S014_NODE_25939_length_2754_cov_7.503236
2327	Brothers_LC_S014_NODE_27380_length_2673_cov_1.104085
2328	Brothers_LC_S014_NODE_28231_length_2630_cov_4.420296
49	Brothers_LC_S014_NODE_29373_length_2569_cov_2.993038
1553	Brothers_LC_S014_NODE_31079_length_2487_cov_0.875847
1554	Brothers_LC_S014_NODE_32434_length_2428_cov_9.873968
1555	Brothers_LC_S014_NODE_3277_length_8075_cov_110.492199
1542	Brothers_LC_S014_NODE_32827_length_2411_cov_82.167688
1556	Brothers_LC_S014_NODE_32994_length_2405_cov_0.770852
850	Brothers_LC_S014_NODE_33051_length_2402_cov_11.396044
2329	Brothers_LC_S014_NODE_3377_length_7954_cov_1.876198
2330	Brothers_LC_S014_NODE_3420_length_7890_cov_2.168105
1557	Brothers_LC_S014_NODE_35479_length_2305_cov_8.147842
851	Brothers_LC_S014_NODE_35762_length_2296_cov_3.913324
1558	Brothers_LC_S014_NODE_35848_length_2293_cov_1.615420
34	Brothers_LC_S014_NODE_3808_length_7473_cov_4.432753
2331	Brothers_LC_S014_NODE_41499_length_2106_cov_0.722587
205	Brothers_LC_S014_NODE_4240_length_7076_cov_1.762700
1559	Brothers_LC_S014_NODE_42734_length_2070_cov_10.006176
110	Brothers_LC_S014_NODE_46066_length_1981_cov_1.680151
204	Brothers_LC_S014_NODE_4803_length_6648_cov_2.162092
2332	Brothers_LC_S014_NODE_48638_length_1917_cov_3.433520
1560	Brothers_LC_S014_NODE_5097_length_6445_cov_7.808325
2333	Brothers_LC_S014_NODE_52467_length_1833_cov_4.077960
1561	Brothers_LC_S014_NODE_53701_length_1807_cov_2.413690
1562	Brothers_LC_S014_NODE_5443_length_6247_cov_6.251471
1563	Brothers_LC_S014_NODE_55138_length_1779_cov_3.047821
2334	Brothers_LC_S014_NODE_55799_length_1766_cov_0.767541
2815	Brothers_LC_S014_NODE_59217_length_1702_cov_1.970794
1564	Brothers_LC_S014_NODE_61949_length_1655_cov_1.565445
640	Brothers_LC_S014_NODE_62628_length_1643_cov_9.529024
2335	Brothers_LC_S014_NODE_63480_length_1629_cov_1.400799
2336	Brothers_LC_S014_NODE_65650_length_1596_cov_1.530973
1565	Brothers_LC_S014_NODE_66176_length_1588_cov_2.410678
2337	Brothers_LC_S014_NODE_67731_length_1565_cov_1.689152
545	Brothers_LC_S014_NODE_68928_length_1548_cov_6.228712
2321	Brothers_LC_S014_NODE_6997_length_5475_cov_8.531414
1566	Brothers_LC_S014_NODE_70033_length_1533_cov_1.864154
111	Brothers_LC_S014_NODE_724_length_16218_cov_40.253806
850	Brothers_LC_S014_NODE_7530_length_5283_cov_8.969356
2339	Brothers_LC_S014_NODE_7615_length_5255_cov_3.273206
2340	Brothers_LC_S014_NODE_77487_length_1439_cov_1.597561
1567	Brothers_LC_S014_NODE_79407_length_1416_cov_1.138092
1568	Brothers_LC_S014_NODE_796_length_15556_cov_17.099618
2341	Brothers_LC_S014_NODE_81832_length_1388_cov_2.693101
179	Brothers_LC_S014_NODE_85042_length_1353_cov_5.685155
2342	Brothers_LC_S014_NODE_8570_length_4947_cov_5.449585
1569	Brothers_LC_S014_NODE_862_length_15060_cov_3.235586
1570	Brothers_LC_S014_NODE_8702_length_4907_cov_1.450628
1571	Brothers_LC_S014_NODE_8749_length_4895_cov_5.424287
688	Brothers_LC_S014_NODE_88946_length_1314_cov_1.534962
706	Brothers_LC_S014_NODE_99046_length_1222_cov_4.284018
1569	Brothers_LC_S016_NODE_103_length_40880_cov_4.708095
2343	Brothers_LC_S016_NODE_103287_length_1776_cov_1.921164
1572	Brothers_LC_S016_NODE_10361_length_5562_cov_6.407544
2344	Brothers_LC_S016_NODE_112048_length_1700_cov_53.373172
848	Brothers_LC_S016_NODE_112177_length_1699_cov_14.664758
1565	Brothers_LC_S016_NODE_112851_length_1694_cov_1.265475
2345	Brothers_LC_S016_NODE_113517_length_1688_cov_1.854580
853	Brothers_LC_S016_NODE_114429_length_1681_cov_1.458816
1550	Brothers_LC_S016_NODE_116639_length_1663_cov_22.347005
1573	Brothers_LC_S016_NODE_118813_length_1647_cov_2.063816
804	Brothers_LC_S016_NODE_1264_length_14540_cov_5.339416
850	Brothers_LC_S016_NODE_13463_length_4916_cov_45.518689
1563	Brothers_LC_S016_NODE_138_length_37240_cov_27.516800
854	Brothers_LC_S016_NODE_161134_length_1392_cov_1.230040
1572	Brothers_LC_S016_NODE_16695_length_4445_cov_3.918249
1562	Brothers_LC_S016_NODE_17021_length_4407_cov_2.862850
545	Brothers_LC_S016_NODE_17726_length_4324_cov_2.789135
1546	Brothers_LC_S016_NODE_17788_length_4317_cov_6.493556
204	Brothers_LC_S016_NODE_20_length_78475_cov_27.656941
1555	Brothers_LC_S016_NODE_20462_length_4032_cov_294.762868
1545	Brothers_LC_S016_NODE_2211_length_11352_cov_2.227617
1566	Brothers_LC_S016_NODE_225799_length_1148_cov_1.607248
2346	Brothers_LC_S016_NODE_25475_length_3618_cov_5.413922
1551	Brothers_LC_S016_NODE_25486_length_3618_cov_1.671154
203	Brothers_LC_S016_NODE_25796_length_3595_cov_400.781430
1547	Brothers_LC_S016_NODE_27081_length_3513_cov_3.864737
2347	Brothers_LC_S016_NODE_27762_length_3472_cov_1.554260
1554	Brothers_LC_S016_NODE_28100_length_3452_cov_2.997594
1560	Brothers_LC_S016_NODE_2827_length_10218_cov_1.932514
1570	Brothers_LC_S016_NODE_29744_length_3359_cov_1.219988
2348	Brothers_LC_S016_NODE_29856_length_3352_cov_18.812403
2349	Brothers_LC_S016_NODE_3113_length_9731_cov_4.825281
1544	Brothers_LC_S016_NODE_32371_length_3221_cov_24.513898
1559	Brothers_LC_S016_NODE_32901_length_3195_cov_53.074641
1571	Brothers_LC_S016_NODE_34429_length_3125_cov_3.562375
416	Brothers_LC_S016_NODE_34577_length_3118_cov_66.166499
111	Brothers_LC_S016_NODE_3834_length_8814_cov_9.253597
1548	Brothers_LC_S016_NODE_39190_length_2932_cov_15.217469
1567	Brothers_LC_S016_NODE_39261_length_2930_cov_2.353907
1543	Brothers_LC_S016_NODE_3944_length_8680_cov_1.648311
2350	Brothers_LC_S016_NODE_41098_length_2863_cov_8.148392
2351	Brothers_LC_S016_NODE_41792_length_2838_cov_5.592770
1537	Brothers_LC_S016_NODE_44199_length_2760_cov_257.850741
1561	Brothers_LC_S016_NODE_48010_length_2648_cov_1.080920
1553	Brothers_LC_S016_NODE_51320_length_2562_cov_1.493634
2352	Brothers_LC_S016_NODE_52646_length_2528_cov_4.973761
855	Brothers_LC_S016_NODE_5623_length_7382_cov_2.479256
2353	Brothers_LC_S016_NODE_57084_length_2426_cov_2.241409
856	Brothers_LC_S016_NODE_58056_length_2405_cov_1.447322
1568	Brothers_LC_S016_NODE_6114_length_7091_cov_9.560454
1227	Brothers_LC_S016_NODE_62123_length_2322_cov_5.416401
203	Brothers_LC_S016_NODE_65664_length_2255_cov_281.304511
1549	Brothers_LC_S016_NODE_69091_length_2195_cov_1.822534
851	Brothers_LC_S016_NODE_7491_length_6451_cov_3.144054
416	Brothers_LC_S016_NODE_74953_length_2103_cov_64.983806
849	Brothers_LC_S016_NODE_7628_length_6401_cov_6.094198
571	Brothers_LC_S016_NODE_8052_length_6244_cov_1.325650
2354	Brothers_LC_S016_NODE_86732_length_1948_cov_5.915980
2355	Brothers_LC_S016_NODE_8701_length_6034_cov_3.254444
2356	Brothers_LC_S016_NODE_94747_length_1860_cov_1.384882
848	Brothers_LC_S016_NODE_96494_length_1841_cov_13.070012
1573	Brothers_LC_S016_NODE_96519_length_1841_cov_2.719953
849	Brothers_LC_S016_NODE_9674_length_5740_cov_8.281311
34	Brothers_LC_S016_NODE_99138_length_1815_cov_1.419431
1574	Brothers_NWCA_S013_NODE_1068_length_12557_cov_15.478439
66	Brothers_NWCA_S013_NODE_10984_length_3588_cov_1.055186
50	Brothers_NWCA_S013_NODE_1128_length_12174_cov_3.991284
857	Brothers_NWCA_S013_NODE_12075_length_3419_cov_9.869684
199	Brothers_NWCA_S013_NODE_13127_length_3269_cov_11.185869
417	Brothers_NWCA_S013_NODE_13264_length_3254_cov_15.870163
110	Brothers_NWCA_S013_NODE_1375_length_10872_cov_103.263006
1575	Brothers_NWCA_S013_NODE_13761_length_3193_cov_1.980104
769	Brothers_NWCA_S013_NODE_14836_length_3070_cov_2.394835
418	Brothers_NWCA_S013_NODE_155_length_38095_cov_64.144227
858	Brothers_NWCA_S013_NODE_15821_length_2970_cov_1.061906
2357	Brothers_NWCA_S013_NODE_164_length_36932_cov_6.894172
49	Brothers_NWCA_S013_NODE_1643_length_9821_cov_24.869610
859	Brothers_NWCA_S013_NODE_16444_length_2911_cov_0.959770
67	Brothers_NWCA_S013_NODE_1684_length_9696_cov_2.963633
415	Brothers_NWCA_S013_NODE_17106_length_2853_cov_1.563096
1576	Brothers_NWCA_S013_NODE_17664_length_2807_cov_1.303358
2816	Brothers_NWCA_S013_NODE_18236_length_2758_cov_1.593311
379	Brothers_NWCA_S013_NODE_18603_length_2730_cov_2.763350
2358	Brothers_NWCA_S013_NODE_18639_length_2728_cov_1.646674
318	Brothers_NWCA_S013_NODE_18731_length_2721_cov_39.720509
19	Brothers_NWCA_S013_NODE_19202_length_2687_cov_1.678516
49	Brothers_NWCA_S013_NODE_20620_length_2589_cov_4.056864
19	Brothers_NWCA_S013_NODE_20743_length_2580_cov_1.686506
1577	Brothers_NWCA_S013_NODE_21001_length_2563_cov_5.910509
1578	Brothers_NWCA_S013_NODE_2154_length_8351_cov_62.859436
1579	Brothers_NWCA_S013_NODE_22062_length_2495_cov_12.787162
111	Brothers_NWCA_S013_NODE_22614_length_2463_cov_2.129281
419	Brothers_NWCA_S013_NODE_2345_length_7981_cov_2.322511
1580	Brothers_NWCA_S013_NODE_2543_length_7657_cov_15.315405
206	Brothers_NWCA_S013_NODE_2607_length_7559_cov_3.553552
860	Brothers_NWCA_S013_NODE_2680_length_7471_cov_13.186411
1581	Brothers_NWCA_S013_NODE_3193_length_6807_cov_2.049551
417	Brothers_NWCA_S013_NODE_33248_length_1994_cov_10.500803
1582	Brothers_NWCA_S013_NODE_3421_length_6561_cov_1.834784
820	Brothers_NWCA_S013_NODE_35628_length_1916_cov_2.455003
861	Brothers_NWCA_S013_NODE_3584_length_6422_cov_66.695155
1182	Brothers_NWCA_S013_NODE_35882_length_1908_cov_3.846715
2817	Brothers_NWCA_S013_NODE_3616_length_6396_cov_91.193811
390	Brothers_NWCA_S013_NODE_36454_length_1891_cov_5.952948
1583	Brothers_NWCA_S013_NODE_3657_length_6362_cov_6.209944
2359	Brothers_NWCA_S013_NODE_37138_length_1871_cov_1.305046
2818	Brothers_NWCA_S013_NODE_37206_length_1869_cov_0.803674
1584	Brothers_NWCA_S013_NODE_3772_length_6245_cov_1.610984
281	Brothers_NWCA_S013_NODE_39702_length_1803_cov_0.923628
2819	Brothers_NWCA_S013_NODE_40636_length_1779_cov_2.523608
862	Brothers_NWCA_S013_NODE_407_length_21886_cov_29.291190
2820	Brothers_NWCA_S013_NODE_4378_length_5757_cov_17.121492
205	Brothers_NWCA_S013_NODE_4393_length_5746_cov_1.119238
1585	Brothers_NWCA_S013_NODE_4419_length_5721_cov_1.313550
590	Brothers_NWCA_S013_NODE_45832_length_1662_cov_3.614984
863	Brothers_NWCA_S013_NODE_47705_length_1626_cov_4.959306
420	Brothers_NWCA_S013_NODE_4811_length_5481_cov_5.615801
1586	Brothers_NWCA_S013_NODE_49_length_70663_cov_17.119301
2821	Brothers_NWCA_S013_NODE_49082_length_1600_cov_1.024440
16	Brothers_NWCA_S013_NODE_49200_length_1598_cov_0.843644
864	Brothers_NWCA_S013_NODE_498_length_19578_cov_60.588453
865	Brothers_NWCA_S013_NODE_4995_length_5375_cov_14.537157
66	Brothers_NWCA_S013_NODE_50334_length_1576_cov_0.798482
1587	Brothers_NWCA_S013_NODE_5176_length_5279_cov_6.703222
49	Brothers_NWCA_S013_NODE_5192_length_5272_cov_6.995530
22	Brothers_NWCA_S013_NODE_52_length_68402_cov_9.024562_fragment_1
199	Brothers_NWCA_S013_NODE_521_length_19142_cov_32.255009
2361	Brothers_NWCA_S013_NODE_5214_length_5264_cov_21.789566
182	Brothers_NWCA_S013_NODE_53_length_65073_cov_47.672728
417	Brothers_NWCA_S013_NODE_53939_length_1513_cov_7.114719
190	Brothers_NWCA_S013_NODE_58377_length_1447_cov_1.394697
182	Brothers_NWCA_S013_NODE_68_length_55372_cov_27.162313
2360	Brothers_NWCA_S013_NODE_70077_length_1299_cov_2.640785
207	Brothers_NWCA_S013_NODE_707_length_15966_cov_6.735653
112	Brothers_NWCA_S013_NODE_710_length_15933_cov_160.121979
199	Brothers_NWCA_S013_NODE_723_length_15775_cov_37.063267
1588	Brothers_NWCA_S013_NODE_735_length_15663_cov_19.996202
2362	Brothers_NWCA_S013_NODE_807_length_14851_cov_3.904102
1589	Brothers_NWCA_S013_NODE_8086_length_4189_cov_41.103397
1590	Brothers_NWCA_S013_NODE_8395_length_4116_cov_2.556280
19	Brothers_NWCA_S013_NODE_8668_length_4053_cov_1.637035
1483	Brothers_NWCA_S013_NODE_8830_length_4011_cov_4.623069
2363	Brothers_NWCA_S013_NODE_9103_length_3945_cov_1.571503
1591	Brothers_NWCA_S013_NODE_9417_length_3878_cov_2.942415
50	Brothers_NWCA_S013_NODE_9428_length_3876_cov_3.338757
800	Brothers_NWCA_S013_NODE_9672_length_3825_cov_46.787182
1592	Brothers_NWCA_S013_NODE_9970_length_3768_cov_1.918978
1587	Brothers_NWCA_S017_NODE_1031_length_4796_cov_15.432855
1593	Brothers_NWCA_S017_NODE_1110_length_4622_cov_53.422024
110	Brothers_NWCA_S017_NODE_1374_length_4174_cov_45.894737
590	Brothers_NWCA_S017_NODE_13902_length_1449_cov_7.862330
1594	Brothers_NWCA_S017_NODE_1692_length_3781_cov_8.371921
860	Brothers_NWCA_S017_NODE_17592_length_1298_cov_11.260461
421	Brothers_NWCA_S017_NODE_17887_length_1288_cov_5.399655
1284	Brothers_NWCA_S017_NODE_18519_length_1268_cov_5.750219
1593	Brothers_NWCA_S017_NODE_2100_length_3437_cov_88.567069
841	Brothers_NWCA_S017_NODE_2333_length_3281_cov_23.497781
2364	Brothers_NWCA_S017_NODE_2395_length_3233_cov_7.466838
19	Brothers_NWCA_S017_NODE_250_length_10426_cov_16.703758
1595	Brothers_NWCA_S017_NODE_2637_length_3087_cov_10.181081
2822	Brothers_NWCA_S017_NODE_272_length_9867_cov_10.664887
176	Brothers_NWCA_S017_NODE_2736_length_3031_cov_8.925275
1589	Brothers_NWCA_S017_NODE_3421_length_2728_cov_23.752018
318	Brothers_NWCA_S017_NODE_3786_length_2603_cov_9.678918
1596	Brothers_NWCA_S017_NODE_430_length_7662_cov_38.408096
1597	Brothers_NWCA_S017_NODE_482_length_7157_cov_29.444523
49	Brothers_NWCA_S017_NODE_5069_length_2281_cov_14.574280
866	Brothers_NWCA_S017_NODE_523_length_6918_cov_34.657488
857	Brothers_NWCA_S017_NODE_550_length_6690_cov_33.132866
35	Brothers_NWCA_S017_NODE_6_length_47110_cov_20.950216
112	Brothers_NWCA_S017_NODE_618_length_6313_cov_53.062399
867	Brothers_NWCA_S017_NODE_949_length_4997_cov_276.654415
1598	Brothers_NWCA_S017_NODE_965_length_4952_cov_16.341762
1599	Brothers_NWCA_S017_NODE_99_length_16323_cov_66.632749
868	Brothers_NWCA_S017_NODE_995_length_4886_cov_91.953772
110	Brothers_NWCA_S142_NODE_1089_length_10841_cov_3.588856
22	Brothers_NWCA_S142_NODE_1146_length_10562_cov_2.691231
19	Brothers_NWCA_S142_NODE_117_length_40709_cov_5.629318
422	Brothers_NWCA_S142_NODE_1198_length_10233_cov_43.426182
2367	Brothers_NWCA_S142_NODE_12_length_127454_cov_9.706260
2366	Brothers_NWCA_S142_NODE_120_length_40186_cov_12.494695_fragment_1
863	Brothers_NWCA_S142_NODE_1225_length_10118_cov_3.527375
868	Brothers_NWCA_S142_NODE_1289_length_9802_cov_1065.101602
423	Brothers_NWCA_S142_NODE_130_length_39257_cov_21.166752
2823	Brothers_NWCA_S142_NODE_1313_length_9684_cov_10.415716
869	Brothers_NWCA_S142_NODE_14203_length_2012_cov_291.065782
1181	Brothers_NWCA_S142_NODE_15064_length_1935_cov_3.717920
359	Brothers_NWCA_S142_NODE_15803_length_1874_cov_1.510017
2369	Brothers_NWCA_S142_NODE_17083_length_1782_cov_6.363142
1576	Brothers_NWCA_S142_NODE_171_length_32836_cov_201.655324
421	Brothers_NWCA_S142_NODE_18_length_107709_cov_9.030340
771	Brothers_NWCA_S142_NODE_18355_length_1698_cov_1.684278
421	Brothers_NWCA_S142_NODE_20_length_105059_cov_8.741985
772	Brothers_NWCA_S142_NODE_20550_length_1571_cov_1.059557
34	Brothers_NWCA_S142_NODE_255_length_26280_cov_23.097886
22	Brothers_NWCA_S142_NODE_25506_length_1359_cov_4.530844
50	Brothers_NWCA_S142_NODE_268_length_25567_cov_5.331997
22	Brothers_NWCA_S142_NODE_2924_length_5905_cov_2.630149
870	Brothers_NWCA_S142_NODE_2946_length_5873_cov_11.798468
871	Brothers_NWCA_S142_NODE_3016_length_5795_cov_2.485533
1564	Brothers_NWCA_S142_NODE_31_length_87330_cov_13.211162_fragment_1
862	Brothers_NWCA_S142_NODE_317_length_23748_cov_21.295457
857	Brothers_NWCA_S142_NODE_3437_length_5339_cov_24.867421
22	Brothers_NWCA_S142_NODE_3639_length_5126_cov_1.673935
585	Brothers_NWCA_S142_NODE_3884_length_4918_cov_186.142976
1234	Brothers_NWCA_S142_NODE_3911_length_4904_cov_2.583002
208	Brothers_NWCA_S142_NODE_4_length_167230_cov_137.168208
18	Brothers_NWCA_S142_NODE_405_length_20138_cov_23.004248
34	Brothers_NWCA_S142_NODE_41_length_63975_cov_31.108210_fragment_1
864	Brothers_NWCA_S142_NODE_4108_length_4744_cov_14.853151
378	Brothers_NWCA_S142_NODE_4310_length_4606_cov_4.815584
1465	Brothers_NWCA_S142_NODE_4680_length_4338_cov_1.313702
101	Brothers_NWCA_S142_NODE_488_length_17678_cov_18.601675
1558	Brothers_NWCA_S142_NODE_5335_length_3957_cov_3.860313
2824	Brothers_NWCA_S142_NODE_5453_length_3900_cov_13.872250
1600	Brothers_NWCA_S142_NODE_5712_length_3787_cov_26.392623
112	Brothers_NWCA_S142_NODE_629_length_15389_cov_5.931922
2370	Brothers_NWCA_S142_NODE_643_length_15202_cov_150.830647
1579	Brothers_NWCA_S142_NODE_6712_length_3402_cov_57.413740
107	Brothers_NWCA_S142_NODE_682_length_14559_cov_3.505335
66	Brothers_NWCA_S142_NODE_7_length_150338_cov_153.796014
2372	Brothers_NWCA_S142_NODE_7115_length_3249_cov_10.361627
190	Brothers_NWCA_S142_NODE_7236_length_3209_cov_1.354640
1601	Brothers_NWCA_S142_NODE_726_length_13991_cov_14.269763
