	Brothers_NWCA_S013_vRhyme_bin_72.fasta	Brothers_NWCA_S144_NODE_135_length_39322_cov_2.066309.fasta	Brothers_NWCB_S012_vRhyme_bin_133.fasta	Brothers_NWCB_S139_vRhyme_bin_149.fasta	Brothers_NWCB_S141_vRhyme_bin_186.fasta	Brothers_NWCB_S146_vRhyme_bin_141.fasta	Brothers_NWCB_S146_vRhyme_bin_70.fasta	Brothers_UC_S010_NODE_3_length_117511_cov_3.387012_fragment_1.fasta	ELSC_Abe_A3_NODE_349_length_34067_cov_2.628197.fasta	ELSC_Bowl_M1_vRhyme_bin_70.fasta	ELSC_Bowl_M2_NODE_903_length_34977_cov_5.977532.fasta	ELSC_Bowl_M2_vRhyme_bin_223.fasta	ELSC_Mariner_M10_NODE_523_length_30543_cov_5.466005.fasta	ELSC_Mariner_M10_NODE_75_length_84621_cov_10.694274_fragment_1.fasta	ELSC_Mariner_M17_NODE_620_length_37589_cov_6.832791.fasta	ELSC_Mariner_M17_vRhyme_bin_119.fasta	ELSC_Mariner_M17_vRhyme_bin_197.fasta	ELSC_Mariner_M17_vRhyme_bin_217.fasta	ELSC_Tui_Malila_T10_NODE_33_length_85711_cov_35.971992_fragment_2.fasta	ELSC_Tui_Malila_T10_vRhyme_bin_1.fasta	ELSC_Tui_Malila_T10_vRhyme_bin_68.fasta	ELSC_Tui_Malila_T11_vRhyme_bin_81.fasta	Guaymas_4561-380_vRhyme_bin_19.fasta	Guaymas_4561-380_vRhyme_bin_32.fasta	Guaymas_4571-419_vRhyme_bin_1.fasta	Guaymas_4571-419_vRhyme_bin_4.fasta	Lau_Basin_Abe_vRhyme_bin_98.fasta	Lau_Basin_Kilo_Moana_vRhyme_bin_48.fasta
ELSC_Bowl_M2_NODE_903_length_34977_cov_5.977532.fasta	0	0	0	0	0	0	0	0	0	86.3	100	0	78.07	0	0	0	0	78.72	0	0	0	0	0	0	0	0	0	0
ELSC_Bowl_M2_vRhyme_bin_223.fasta	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	50.79	0	0	0	0	0	0	0	0	0	0	0
ELSC_Mariner_M10_NODE_523_length_30543_cov_5.466005.fasta	0	0	0	0	0	0	0	0	0	66.24	78.06	0	100	0	0	0	0	68.37	0	0	0	0	0	0	0	0	0	0
ELSC_Mariner_M10_NODE_75_length_84621_cov_10.694274_fragment_1.fasta	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	78.2	0	0	0	0	0	0	0	0	0
ELSC_Mariner_M17_NODE_620_length_37589_cov_6.832791.fasta	0	0	0	0	0	0	0	74.03	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0
ELSC_Mariner_M17_vRhyme_bin_119.fasta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	61.64	0	0	0	0	0	0
ELSC_Mariner_M17_vRhyme_bin_197.fasta	0	0	0	0	0	0	0	0	0	0	0	50.79	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0
ELSC_Mariner_M17_vRhyme_bin_217.fasta	0	0	0	0	0	0	0	0	0	72.79	78.72	0	68.37	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0
ELSC_Tui_Malila_T10_NODE_33_length_85711_cov_35.971992_fragment_2.fasta	0	0	0	0	0	0	0	0	0	0	0	0	0	78.12	0	0	0	0	100	0	0	0	0	0	0	0	0	0
ELSC_Tui_Malila_T10_vRhyme_bin_1.fasta	0	0	0	0	0	0	0	0	54.22	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0
ELSC_Tui_Malila_T10_vRhyme_bin_68.fasta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	49.75	0	0	0	0	0	0
ELSC_Tui_Malila_T11_vRhyme_bin_81.fasta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61.64	0	0	0	0	49.75	100	0	0	0	0	0	0
Guaymas_4561-380_vRhyme_bin_19.fasta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	83.32	0	0
Guaymas_4561-380_vRhyme_bin_32.fasta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	98.44	0	0	0
Guaymas_4571-419_vRhyme_bin_1.fasta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98.44	100	0	0	0
Guaymas_4571-419_vRhyme_bin_4.fasta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83.32	0	0	100	0	0
Lau_Basin_Abe_vRhyme_bin_98.fasta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	88.72
Lau_Basin_Kilo_Moana_vRhyme_bin_48.fasta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88.72	100
