protein	accession	evalue	score
ELSC_T11_metabat2_110_T11_NODE_149_length_50640_cov_10.341872_33	TIGR02061	0.0	1083.2
ELSC_134-614_metabat1_009_134-614_scaffold_90_c1_33	TIGR02061	0.0	1082.9
Brothers_S139_metabat2_159_S139_NODE_2966_length_16539_cov_1.829698_17	TIGR02061	0.0	1078.8
ELSC_A3_metabat1_132_A3_NODE_3331_length_13187_cov_3.086524_10	TIGR02061	0.0	1078.4
MAR_354-166_metabat2_030_354-166_scaffold_7609_c1_6	TIGR02061	0.0	1075.6
EPR_4281-140_metabat1_004_4281-140_scaffold_2647_c1_8	TIGR02061	0.0	1075.0
ELSC_132-544_metabat2_059_132-544_scaffold_1042_c1_3	TIGR02061	0.0	1073.7
ELSC_V2_metabat2_012_V2_NODE_2399_length_6359_cov_6.700096_4	TIGR02061	0.0	1073.7
ELSC_134-614_metabat2_076_134-614_scaffold_2899_c1_9	TIGR02061	0.0	1073.1
ELSC_A3_maxbin2_306_A3_NODE_57870_length_3450_cov_1.706590_1	TIGR02061	0.0	1073.1
Lau_Basin_Abe_HVA-1292_122_12	TIGR02061	0.0	1072.5
Lau_Basin_Kilo_Moana_HVA-1235_111_9	TIGR02061	0.0	1072.5
Lau_Basin_Tahi_Moana_HVA-1263_80_28	TIGR02061	0.0	1072.5
Brothers_S139_maxbin2_214_VB_S139_NODE_523_length_41357_cov_7.941960_12	TIGR02061	0.0	1069.7
Brothers_S011_maxbin2_052_S011_NODE_299_length_17780_cov_3.085028_16	TIGR02061	0.0	1068.9
MAR_356-284_metabat2_069_356-284_scaffold_2811_c1_4	TIGR02061	0.0	1068.0
ELSC_M17_metabat2_180_M17_NODE_12407_length_7450_cov_2.307524_5	TIGR02061	0.0	1067.9
MAR_354-166_metabat2_117_354-166_scaffold_9868_c1_5	TIGR02061	0.0	1067.9
MAR_355-202_metabat2_060_355-202_scaffold_981_c1_19	TIGR02061	0.0	1067.9
MAR_354-166_metabat2_109_354-166_scaffold_621_c1_18	TIGR02061	0.0	1067.7
MAR_355-202_maxbin2_114_355-202_scaffold_633_c1_32	TIGR02061	0.0	1067.7
Brothers_S144_metabat2_009_S144_NODE_4225_length_9188_cov_2.265092_3	TIGR02061	0.0	1067.1
ELSC_T2_metabat2_226_T2_NODE_63180_length_3683_cov_1.640326_4	TIGR02061	0.0	1065.2
MAR_354-166_metabat2_098_354-166_scaffold_63_c1_102	TIGR02061	0.0	1064.8
MAR_355-202_metabat2_023_355-202_scaffold_1552_c1_14	TIGR02061	0.0	1062.9
ELSC_A1_maxbin2_147_A1_NODE_54592_length_2977_cov_7.977544_2	TIGR02061	0.0	1060.6
Guaymas_4559-240_metabat2_108_4559-240_scaffold_2095_c1_5	TIGR02061	0.0	1059.7
ELSC_M17_metabat2_013_M17_NODE_3349_length_15749_cov_227.406350_2	TIGR02061	0.0	1059.5
Brothers_S144_maxbin2_240_S144_NODE_17042_length_4671_cov_260.791153_4	TIGR02061	0.0	1059.3
Brothers_S013_maxbin2_114_S013_NODE_7214_length_4433_cov_568.139340_2	TIGR02061	0.0	1058.4
Brothers_S017_metabat1_003_S017_NODE_192_length_12382_cov_32.414525_14	TIGR02061	0.0	1058.4
Brothers_S142_metabat2_045_S142_NODE_1308_length_9700_cov_21.471639_2	TIGR02061	0.0	1058.4
Brothers_S143_metabat1_049_S143_NODE_2322_length_14419_cov_6.942135_15	TIGR02061	0.0	1058.4
ELSC_T2_metabat2_050_T2_NODE_854_length_34406_cov_3.759153_12	TIGR02061	0.0	1055.1
ELSC_T10_metabat2_120_T10_NODE_18319_length_3997_cov_8.052455_1	TIGR02061	0.0	1053.6
ELSC_T10_maxbin2_241_T10_NODE_1181_length_15665_cov_50.915369_4	TIGR02061	0.0	1052.4
ELSC_A1_metabat2_085_A1_NODE_12_length_113237_cov_5.119432_1	TIGR02061	0.0	1052.2
MAR_356-284_metabat1_125_356-284_scaffold_19_c2_47	TIGR02061	0.0	1051.7
MAR_354-166_maxbin2_107_354-166_scaffold_118_c2_12	TIGR02061	0.0	1051.5
ELSC_T11_maxbin2_312_T11_NODE_142_length_51486_cov_62.491988_4	TIGR02061	0.0	1050.4
MAR_355-202_metabat1_040_355-202_scaffold_355_c1_51	TIGR02061	0.0	1050.2
ELSC_A3_metabat2_364_A3_NODE_183_length_43661_cov_8.375614_23	TIGR02061	0.0	1050.2
ELSC_134-614_metabat2_107_VB_134-614_scaffold_30600_c1_1	TIGR02061	0.0	1049.4
Guaymas_4559-240_metabat1_032_4559-240_scaffold_542_c1_10	TIGR02061	0.0	1047.8
Guaymas_4559-240_maxbin2_083_VB_4559-240_scaffold_7086_c1_3	TIGR02061	0.0	1047.5
MAR_356-308_metabat1_084_356-308_scaffold_7873_c1_5	TIGR02061	0.0	1045.7
Brothers_S141_metabat2_193_S141_NODE_10252_length_7675_cov_25.270005_4	TIGR02061	0.0	1044.4
ELSC_M17_maxbin2_176_M17_NODE_27247_length_4572_cov_16.404949_5	TIGR02061	0.0	1044.2
ELSC_M17_metabat2_083_M17_NODE_32550_length_4087_cov_2.429040_5	TIGR02061	0.0	1038.9
ELSC_M10_maxbin2_004_M10_NODE_5830_length_7610_cov_1.474409_8	TIGR02061	0.0	1036.3
ELSC_134-614_metabat2_142_134-614_scaffold_2483_c1_8	TIGR02061	0.0	1035.3
Brothers_S144_metabat2_068_S144_NODE_20521_length_4258_cov_1.616316_1	TIGR02061	0.0	1023.3
Axial_Plume_UWMA-0819_NODE_165_length_21473_cov_39.641057_14	TIGR02061	0.0	1020.8
Guaymas_Basin_HVA-1017_95_28	TIGR02061	0.0	1020.8
Cayman_Shallow_HVA-1120_43_58	TIGR02061	0.0	1012.0
Cayman_Deep_HVA-1154_116_7	TIGR02061	0.0	1011.7
ELSC_T10_metabat1_028_T10_NODE_2225_length_11537_cov_6.412007_9	TIGR02061	4.8e-301	1008.5
EPR_4281-140_maxbin2_102_4281-140_scaffold_19789_c1_3	TIGR02061	5.3e-301	1008.4
Brothers_S139_metabat2_232_S139_NODE_6794_length_10700_cov_1.899745_7	TIGR02061	5.3e-301	1008.4
ELSC_128-326_maxbin2_045_128-326_scaffold_3360_c1_6	TIGR02061	5.3e-301	1008.4
ELSC_T2_maxbin2_365_T2_NODE_77946_length_3284_cov_1.609756_2	TIGR02061	5.3e-301	1008.4
Brothers_S141_metabat2_136_S141_NODE_23374_length_4472_cov_9.720598_3	TIGR02061	5.8e-301	1008.2
Brothers_S146_metabat1_071_S146_NODE_4701_length_9876_cov_2.274285_4	TIGR02061	5.8e-301	1008.2
MAR_356-308_metabat1_060_356-308_scaffold_167_c1_66	TIGR02061	1.6999999999999998e-300	1006.7
Guaymas_4559-240_metabat1_031_4559-240_scaffold_174_c1_34	TIGR02061	4.6e-300	1005.3
ELSC_T2_metabat1_003_T2_NODE_41351_length_4602_cov_1.817430_3	TIGR02061	4.5e-300	1005.3
Guaymas_Basin_HVA-1058_242_1	TIGR02061	6.199999999999999e-300	1004.9
Cayman_Shallow_HVA-1130_14_2	TIGR02061	4.0999999999999996e-299	1002.1
MAR_356-284_metabat2_118_356-284_scaffold_15954_c1_2	TIGR02061	7.3e-299	1001.3
Brothers_S141_metabat2_053_S141_NODE_12717_length_6679_cov_1.666667_5	TIGR02061	1.4e-298	1000.4
ELSC_M17_metabat2_145_M17_NODE_10813_length_8106_cov_27.390400_8	TIGR02061	1.4e-298	1000.4
ELSC_T10_metabat2_195_T10_NODE_1107_length_16130_cov_5.258014_11	TIGR02061	4.4e-298	998.7
ELSC_T2_maxbin2_181_T2_NODE_14392_length_7906_cov_1.930711_4	TIGR02061	4.4e-298	998.7
ELSC_T11_metabat2_034_T11_NODE_56_length_84333_cov_14.928093_17	TIGR02061	5e-298	998.5
ELSC_A3_metabat2_316_A3_NODE_105815_length_2539_cov_1.346600_1	TIGR02061	1.2e-297	997.2
Brothers_S012_metabat2_059_S012_NODE_1267_length_20767_cov_2.635417_15	TIGR02061	3.2000000000000004e-297	995.9
Brothers_S143_maxbin2_350_S143_NODE_1856_length_16046_cov_105.665306_10	TIGR02061	3.9e-297	995.6
ELSC_134-614_metabat1_049_134-614_scaffold_16556_c1_3	TIGR02061	7.700000000000001e-297	994.6
Brothers_S146_maxbin2_075_S146_NODE_9670_length_7100_cov_3.147139_3	TIGR02061	1.2e-296	993.9
MAR_356-284_maxbin2_156_356-284_scaffold_7830_c1_3	TIGR02061	1.4e-296	993.7
ELSC_T2_maxbin2_302_T2_NODE_16759_length_7320_cov_1.617684_1	TIGR02061	2.3e-296	993.1
MAR_355-202_metabat1_030_355-202_scaffold_3185_c1_9	TIGR02061	3.1e-296	992.6
Brothers_S143_metabat2_125_S143_NODE_424_length_34461_cov_186.196103_29	TIGR02061	3.3e-296	992.5
Brothers_S144_maxbin2_116_S144_NODE_8323_length_6678_cov_5.657457_3	TIGR02061	3.3e-296	992.5
Brothers_S144_metabat1_018_S144_NODE_28858_length_3562_cov_2.530422_2	TIGR02061	7.1e-296	991.4
Brothers_S143_metabat2_111_S143_NODE_7799_length_7722_cov_2.434760_2	TIGR02061	1.2000000000000001e-295	990.7
ELSC_T11_metabat2_046_T11_NODE_39_length_108962_cov_15.038407_14	TIGR02061	1.5e-295	990.4
ELSC_T10_metabat2_136_T10_NODE_6416_length_6838_cov_15.249292_4	TIGR02061	1.5e-295	990.4
ELSC_A1_metabat1_035_A1_NODE_3138_length_10991_cov_6.810567_4	TIGR02061	2.6e-295	989.6
Brothers_S140_metabat2_048_S140_NODE_34982_length_3518_cov_1.119729_3	TIGR02061	6e-294	985.1
Lau_Basin_Tui_Malila_HVA-1332_235_10	TIGR02061	9.3e-294	984.4
Lau_Basin_Mariner_HVA-1346_286_2	TIGR02061	1.4999999999999998e-293	983.8
Lau_Basin_Kilo_Moana_HVA-1199_46_3	TIGR02061	1.4999999999999998e-293	983.8
Lau_Basin_Tahi_Moana_HVA-1253_224_3	TIGR02061	1.4999999999999998e-293	983.8
Lau_Basin_Abe_HVA-1290_201_11	TIGR02061	1.4999999999999998e-293	983.8
Cayman_Shallow_HVA-1152_167_3	TIGR02061	1.4999999999999998e-293	983.8
ELSC_128-326_metabat1_025_128-326_scaffold_329_c1_14	TIGR02061	1.9e-293	983.4
EPR_PIR-30_metabat1_046_PIR-30_scaffold_503_c1_5	TIGR02061	2.1999999999999997e-293	983.2
Guaymas_4559-240_metabat2_116_4559-240_scaffold_1026_c1_5	TIGR02061	2.9e-293	982.8
Cayman_Deep_HVA-1159_6_11	TIGR02061	9.999999999999999e-293	981.0
EPR_PIR-30_maxbin2_164_PIR-30_scaffold_1385_c1_11	TIGR02061	1.9e-291	976.9
Cayman_Shallow_HVA-1140_9_6	TIGR02061	2.4999999999999998e-291	976.4
Guaymas_Basin_HVA-1010_14_65	TIGR02061	3e-291	976.2
MAR_356-308_metabat2_107_356-308_scaffold_5307_c1_5	TIGR02061	3e-291	976.1
ELSC_T2_maxbin2_371_T2_NODE_18537_length_6951_cov_17.595692_4	TIGR02061	4.2999999999999996e-291	975.7
Brothers_S144_metabat2_034_S144_NODE_3073_length_10646_cov_3.982508_3	TIGR02061	1.2e-290	974.2
MAR_354-166_metabat2_072_354-166_scaffold_431_c1_31	TIGR02061	1.4e-290	973.9
Brothers_S146_metabat2_230_S146_NODE_7410_length_8028_cov_2.786230_6	TIGR02061	1.9000000000000002e-290	973.5
ELSC_V2_maxbin2_072_V2_NODE_27821_length_2030_cov_5.044141_1	TIGR02061	2.4e-290	973.2
ELSC_A3_metabat2_065_A3_NODE_14292_length_6765_cov_2.650346_2	TIGR02061	7e-290	971.6
ELSC_128-326_metabat2_007_128-326_scaffold_13387_c1_2	TIGR02061	1.8999999999999998e-289	970.2
Brothers_S012_metabat1_042_S012_NODE_8057_length_7108_cov_2.868357_1	TIGR02061	1.9999999999999998e-289	970.2
Brothers_S146_metabat2_118_S146_NODE_2061_length_13865_cov_2.553647_4	TIGR02061	3.5e-289	969.4
ELSC_M17_metabat2_100_M17_NODE_13556_length_7066_cov_9.759331_8	TIGR02061	3.9999999999999996e-289	969.2
ELSC_M2_metabat2_184_M2_NODE_14682_length_7884_cov_2.109707_3	TIGR02061	5.7e-289	968.6
Brothers_S012_maxbin2_020_S012_NODE_2951_length_12802_cov_3.170572_6	TIGR02061	9.199999999999999e-289	967.9
ELSC_T2_metabat2_384_T2_NODE_74185_length_3373_cov_1.601047_1	TIGR02061	9.7e-289	967.9
Cayman_Deep_HVA-1160_261_3	TIGR02061	9.7e-289	967.9
Guaymas_Basin_HVA-1079_15_42	TIGR02061	1.5999999999999998e-288	967.2
Lau_Basin_Mariner_HVA-1346_45_4	TIGR02061	1.9e-288	966.9
Cayman_Shallow_HVA-1096_117_2	TIGR02061	2.1999999999999998e-288	966.7
Brothers_S139_metabat2_011_S139_NODE_2255_length_19098_cov_2.055980_15	TIGR02061	2.6e-288	966.5
ELSC_134-614_metabat2_011_134-614_scaffold_25009_c1_1	TIGR02061	2.6e-288	966.5
ELSC_T2_metabat1_254_T2_NODE_50291_length_4154_cov_5.250807_2	TIGR02061	3.1999999999999997e-288	966.2
ELSC_T11_maxbin2_305_T11_NODE_3768_length_9837_cov_2.641504_4	TIGR02061	3.1999999999999997e-288	966.2
ELSC_A3_maxbin2_501_A3_NODE_6629_length_9660_cov_1.830693_6	TIGR02061	3.1999999999999997e-288	966.2
Brothers_S012_maxbin2_211_S012_NODE_29503_length_3325_cov_6.110381_3	TIGR02061	1.1e-287	964.4
Brothers_S139_metabat1_067_S139_NODE_11818_length_7878_cov_9.107857_5	TIGR02061	1.7e-287	963.8
Brothers_S144_metabat2_093_S144_NODE_309_length_28223_cov_2.207930_1	TIGR02061	1.7e-287	963.8
Guaymas_4559-240_metabat2_056_4559-240_scaffold_1027_c1_4	TIGR02061	1.9e-287	963.6
Guaymas_Basin_HVA-1028_4_7	TIGR02061	5.6e-287	962.1
Cayman_Deep_HVA-1177_472_1	TIGR02061	9.1e-287	961.4
ELSC_131-447_metabat2_039_131-447_scaffold_30_c1_50	TIGR02061	1.1e-286	961.0
ELSC_A3_metabat2_167_A3_NODE_1121_length_21038_cov_6.948018_5	TIGR02061	1.2e-286	961.0
ELSC_T2_metabat2_075_T2_NODE_92250_length_2992_cov_1.165794_1	TIGR02061	1.6999999999999998e-286	960.5
ELSC_A3_metabat1_154_A3_NODE_44406_length_3933_cov_3.674199_3	TIGR02061	2.6999999999999998e-286	959.8
ELSC_M2_metabat2_091_M2_NODE_14121_length_8049_cov_4.761676_3	TIGR02061	3.9999999999999997e-286	959.2
ELSC_131-447_metabat2_062_131-447_scaffold_5299_c1_3	TIGR02061	3.9999999999999997e-286	959.2
ELSC_M17_metabat2_026_M17_NODE_3592_length_15135_cov_3.001066_7	TIGR02061	7.7e-286	958.3
ELSC_134-614_metabat2_130_134-614_scaffold_528_c1_6	TIGR02061	9.499999999999999e-286	958.0
EPR_PIR-30_metabat1_020_PIR-30_scaffold_21_c2_46	TIGR02061	1.1e-285	957.8
ELSC_M1_metabat1_026_M1_NODE_4988_length_5189_cov_3.920585_3	TIGR02061	1.2e-285	957.7
ELSC_M2_maxbin2_395_M2_NODE_7106_length_11931_cov_3.483311_10	TIGR02061	1.2e-285	957.7
Brothers_S140_metabat2_120_S140_NODE_8650_length_6730_cov_1.110253_3	TIGR02061	1.7e-285	957.1
MAR_356-308_metabat2_058_356-308_scaffold_177_c1_36	TIGR02061	2.7e-285	956.5
MAR_356-308_metabat1_028_356-308_scaffold_132_c1_36	TIGR02061	4.4e-285	955.8
ELSC_A1_metabat2_346_A1_NODE_14573_length_5526_cov_4.241526_3	TIGR02061	5.8e-285	955.4
Brothers_S144_metabat2_140_S144_NODE_2300_length_12042_cov_44.055896_5	TIGR02061	6.3e-285	955.3
Brothers_S143_maxbin2_180_S143_NODE_2896_length_12895_cov_166.003133_5	TIGR02061	6.3e-285	955.3
MAR_356-284_metabat2_141_356-284_scaffold_806_c1_14	TIGR02061	6.8e-285	955.2
Lau_Basin_Kilo_Moana_HVA-1204_375_3	TIGR02061	8.699999999999999e-285	954.8
ELSC_134-614_metabat2_069_134-614_scaffold_9762_c1_3	TIGR02061	1.2e-284	954.4
ELSC_T10_metabat2_152_T10_NODE_10_length_194829_cov_41.679669_5	TIGR02061	1.2e-284	954.4
ELSC_T2_maxbin2_520_T2_NODE_28588_length_5561_cov_2.339345_4	TIGR02061	1.2e-284	954.4
ELSC_A3_metabat2_053_A3_NODE_473_length_30186_cov_2.417313_32	TIGR02061	1.4e-284	954.2
ELSC_A3_metabat2_226_A3_NODE_11711_length_7416_cov_4.741666_4	TIGR02061	1.4e-284	954.1
ELSC_A1_metabat2_266_A1_NODE_12407_length_5950_cov_1.986948_7	TIGR02061	1.4e-284	954.1
Brothers_S139_maxbin2_007_S139_NODE_106898_length_2045_cov_1.103233_1	TIGR02061	3.5000000000000004e-284	952.8
ELSC_T2_maxbin2_130_T2_NODE_55955_length_3928_cov_27.929229_1	TIGR02061	4.7e-284	952.4
ELSC_132-544_maxbin2_010_VB_132-544_scaffold_16240_c1_1	TIGR02061	5.4e-284	952.2
ELSC_M2_metabat1_070_M2_NODE_32922_length_4890_cov_2.208272_3	TIGR02061	5.9e-284	952.1
ELSC_M17_metabat2_166_M17_NODE_40448_length_3542_cov_1.919766_1	TIGR02061	1.4e-283	950.8
ELSC_M2_metabat2_263_M2_NODE_23856_length_5936_cov_2.380788_3	TIGR02061	2.9e-283	949.8
Cayman_Shallow_HVA-1117_261_3	TIGR02061	3.0999999999999996e-283	949.7
Brothers_S145_maxbin2_142_S145_NODE_27891_length_2687_cov_5.889453_2	TIGR02061	3.8999999999999997e-283	949.4
ELSC_131-447_metabat1_049_131-447_scaffold_2472_c1_7	TIGR02061	3.7999999999999996e-283	949.4
ELSC_M2_metabat2_112_M2_NODE_3435_length_17632_cov_3.885119_11	TIGR02061	3.7999999999999996e-283	949.4
MAR_355-202_maxbin2_109_355-202_scaffold_3404_c1_5	TIGR02061	4.7e-283	949.1
MAR_356-284_maxbin2_179_356-284_scaffold_180_c1_35	TIGR02061	5.8e-283	948.8
EPR_PIR-30_metabat1_094_PIR-30_scaffold_565_c1_5	TIGR02061	6.299999999999999e-283	948.7
Cayman_Deep_HVA-1181_210_5	TIGR02061	7.1e-283	948.5
ELSC_T2_metabat2_285_T2_NODE_1275_length_27613_cov_3.088845_19	TIGR02061	7.1e-283	948.5
ELSC_M10_metabat1_010_M10_NODE_6718_length_6972_cov_7.410811_3	TIGR02061	8.8e-283	948.2
ELSC_M17_metabat2_288_M17_NODE_3307_length_15844_cov_6.223707_8	TIGR02061	8.8e-283	948.2
ELSC_T2_metabat1_240_T2_NODE_2305_length_20213_cov_2.156029_5	TIGR02061	9.1e-283	948.2
MAR_355-202_metabat1_029_355-202_scaffold_806_c1_16	TIGR02061	9.9e-283	948.0
Brothers_S145_metabat2_049_S145_NODE_83_length_62377_cov_53.282538_62	TIGR02061	1.4000000000000001e-282	947.6
ELSC_A3_metabat2_054_A3_NODE_1085_length_21268_cov_2.471406_9	TIGR02061	1.4000000000000001e-282	947.5
ELSC_132-544_metabat2_068_132-544_scaffold_983_c1_2	TIGR02061	1.7e-282	947.2
ELSC_134-614_maxbin2_023_134-614_scaffold_23285_c1_3	TIGR02061	1.7e-282	947.2
ELSC_T10_metabat2_003_T10_NODE_13730_length_4650_cov_7.206942_3	TIGR02061	1.7e-282	947.2
MAR_355-202_metabat1_015_355-202_scaffold_10566_c1_2	TIGR02061	1.8000000000000003e-282	947.2
ELSC_A3_maxbin2_481_A3_NODE_8600_length_8578_cov_30.428588_5	TIGR02061	1.9e-282	947.1
ELSC_M17_metabat2_252_M17_NODE_394_length_44646_cov_9.583818_34	TIGR02061	2e-282	947.0
ELSC_M10_metabat1_013_M10_NODE_343_length_38388_cov_3.488565_5	TIGR02061	2e-282	947.0
ELSC_A1_maxbin2_012_A1_NODE_2349_length_12558_cov_53.522243_5	TIGR02061	2e-282	947.0
ELSC_134-614_maxbin2_104_134-614_scaffold_2373_c1_5	TIGR02061	2e-282	947.0
ELSC_M2_metabat2_235_M2_NODE_11493_length_9100_cov_3.527360_5	TIGR02061	2.9e-282	946.5
Brothers_S139_maxbin2_062_S139_NODE_11223_length_8121_cov_12.702652_1	TIGR02061	5.7e-282	945.5
ELSC_A1_metabat2_193_A1_NODE_5514_length_8547_cov_3.682185_4	TIGR02061	6.4000000000000004e-282	945.4
ELSC_T2_metabat2_141_T2_NODE_2834_length_18264_cov_2.618901_9	TIGR02061	6.4000000000000004e-282	945.4
Brothers_S146_metabat2_168_S146_NODE_63124_length_2735_cov_29.807899_1	TIGR02061	7.6e-282	945.1
ELSC_128-326_metabat2_090_128-326_scaffold_2546_c1_8	TIGR02061	7.6e-282	945.1
Brothers_S141_metabat2_038_S141_NODE_26479_length_4098_cov_1.405439_2	TIGR02061	9.200000000000001e-282	944.8
Brothers_S146_metabat1_059_S146_NODE_1213_length_17331_cov_7.768426_9	TIGR02061	2.5e-281	943.4
ELSC_A1_metabat1_121_A1_NODE_729_length_21466_cov_5.277520_4	TIGR02061	2.9e-281	943.2
ELSC_T10_metabat1_007_T10_NODE_1213_length_15503_cov_16.361212_8	TIGR02061	2.9e-281	943.2
ELSC_T11_metabat2_172_T11_NODE_759_length_21928_cov_3.372231_15	TIGR02061	2.9e-281	943.2
ELSC_T2_metabat2_069_T2_NODE_2627_length_18936_cov_6.100643_5	TIGR02061	2.9e-281	943.2
Brothers_S143_metabat2_026_S143_NODE_2368_length_14258_cov_5.629396_5	TIGR02061	4.2e-281	942.6
MAR_354-166_metabat2_051_354-166_scaffold_41340_c1_1	TIGR02061	6.199999999999999e-281	942.1
ELSC_M2_metabat1_001_M2_NODE_3830_length_16642_cov_7.353315_5	TIGR02061	7.1e-281	941.9
ELSC_A3_metabat1_042_A3_NODE_5452_length_10544_cov_2.447634_6	TIGR02061	1e-280	941.4
ELSC_T2_metabat2_208_T2_NODE_32437_length_5213_cov_16.092411_2	TIGR02061	1.0999999999999999e-280	941.2
ELSC_A1_maxbin2_388_A1_NODE_15545_length_5357_cov_23.548375_5	TIGR02061	1.3999999999999998e-280	941.0
MAR_355-202_metabat2_066_355-202_scaffold_2024_c1_5	TIGR02061	1.3e-280	941.0
ELSC_M2_metabat2_101_M2_NODE_4930_length_14552_cov_3.526655_6	TIGR02061	1.6e-280	940.7
MAR_355-202_metabat1_024_355-202_scaffold_5547_c1_3	TIGR02061	1.8999999999999998e-280	940.5
ELSC_128-326_maxbin2_091_128-326_scaffold_1174_c1_9	TIGR02061	2e-280	940.4
MAR_356-308_metabat1_060_356-308_scaffold_1015_c1_10	TIGR02061	2.6e-280	940.1
Brothers_S015_metabat2_054_S015_NODE_10698_length_3780_cov_2.499589_3	TIGR02061	2.7999999999999997e-280	939.9
Brothers_S143_metabat2_021_S143_NODE_946_length_22832_cov_29.396609_4	TIGR02061	4.8e-280	939.2
Brothers_S013_metabat2_105_S013_NODE_5747_length_4995_cov_2.179745_1	TIGR02061	5.5e-280	939.0
ELSC_A3_maxbin2_015_A3_NODE_33082_length_4534_cov_1.981166_5	TIGR02061	9.7e-280	938.2
EPR_4281-140_metabat1_058_4281-140_scaffold_3928_c1_6	TIGR02061	9.999999999999999e-280	938.1
EPR_4281-140_metabat2_019_4281-140_scaffold_3670_c1_2	TIGR02061	1.1e-279	937.9
