file format type num_seqs sum_len min_len avg_len max_len
Axial_Plume_NODE_14150_length_2178_cov_0.699171 FASTA DNA 1 2178 2178 2178 2178
Axial_Plume_NODE_14201_length_2174_cov_0.534441 FASTA DNA 1 2174 2174 2174 2174
Axial_Plume_NODE_14339_length_2164_cov_0.590083 FASTA DNA 1 2164 2164 2164 2164
Axial_Plume_NODE_1433_length_7488_cov_0.961962 FASTA DNA 1 7488 7488 7488 7488
Axial_Plume_NODE_14367_length_2162_cov_0.646683 FASTA DNA 1 2162 2162 2162 2162
Axial_Plume_NODE_14380_length_2161_cov_0.895280 FASTA DNA 1 2161 2161 2161 2161
Axial_Plume_NODE_14408_length_2159_cov_0.621063 FASTA DNA 1 2159 2159 2159 2159
Axial_Plume_NODE_14442_length_2156_cov_1.311483 FASTA DNA 1 2156 2156 2156 2156
Axial_Plume_NODE_14452_length_2156_cov_0.576146 FASTA DNA 1 2156 2156 2156 2156
Axial_Plume_NODE_14470_length_2154_cov_3.902812 FASTA DNA 1 2154 2154 2154 2154
Axial_Plume_NODE_14637_length_2143_cov_0.424603 FASTA DNA 1 2143 2143 2143 2143
Axial_Plume_NODE_1466_length_7389_cov_2.839438 FASTA DNA 1 7389 7389 7389 7389
Axial_Plume_NODE_14807_length_2131_cov_0.531936 FASTA DNA 1 2131 2131 2131 2131
Axial_Plume_NODE_1489_length_7304_cov_1.411593 FASTA DNA 1 7304 7304 7304 7304
Axial_Plume_NODE_14927_length_2123_cov_0.690381 FASTA DNA 1 2123 2123 2123 2123
Axial_Plume_NODE_15006_length_2117_cov_0.529146 FASTA DNA 1 2117 2117 2117 2117
Axial_Plume_NODE_15088_length_2112_cov_0.403023 FASTA DNA 1 2112 2112 2112 2112
Axial_Plume_NODE_15140_length_2108_cov_0.872287 FASTA DNA 1 2108 2108 2108 2108
Axial_Plume_NODE_15189_length_2105_cov_0.784125 FASTA DNA 1 2105 2105 2105 2105
Axial_Plume_NODE_15234_length_2102_cov_0.874937 FASTA DNA 1 2102 2102 2102 2102
Axial_Plume_NODE_15298_length_2097_cov_0.870051 FASTA DNA 1 2097 2097 2097 2097
Axial_Plume_NODE_1536_length_7170_cov_1.437740 FASTA DNA 1 7170 7170 7170 7170
Axial_Plume_NODE_15419_length_2089_cov_0.779817 FASTA DNA 1 2089 2089 2089 2089
Axial_Plume_NODE_15449_length_2087_cov_1.271939 FASTA DNA 1 2087 2087 2087 2087
Axial_Plume_NODE_15453_length_2087_cov_0.974490 FASTA DNA 1 2087 2087 2087 2087
Axial_Plume_NODE_15596_length_2077_cov_1.225641 FASTA DNA 1 2077 2077 2077 2077
Axial_Plume_NODE_15598_length_2077_cov_0.772821 FASTA DNA 1 2077 2077 2077 2077
Axial_Plume_NODE_15619_length_2076_cov_0.673166 FASTA DNA 1 2076 2076 2076 2076
Axial_Plume_NODE_15653_length_2074_cov_1.028762 FASTA DNA 1 2074 2074 2074 2074
Axial_Plume_NODE_1576_length_7039_cov_2.308449 FASTA DNA 1 7039 7039 7039 7039
Axial_Plume_NODE_1579_length_7025_cov_1.781821 FASTA DNA 1 7025 7025 7025 7025
Axial_Plume_NODE_157_length_22107_cov_4.490628 FASTA DNA 1 22107 22107 22107 22107
Axial_Plume_NODE_15808_length_2064_cov_0.980898 FASTA DNA 1 2064 2064 2064 2064
Axial_Plume_NODE_15886_length_2059_cov_0.423913 FASTA DNA 1 2059 2059 2059 2059
Axial_Plume_NODE_15975_length_2053_cov_0.306854 FASTA DNA 1 2053 2053 2053 2053
Axial_Plume_NODE_15981_length_2052_cov_1.306494 FASTA DNA 1 2052 2052 2052 2052
Axial_Plume_NODE_16030_length_2050_cov_0.479459 FASTA DNA 1 2050 2050 2050 2050
Axial_Plume_NODE_16044_length_2049_cov_0.700832 FASTA DNA 1 2049 2049 2049 2049
Axial_Plume_NODE_1604_length_6949_cov_1.028291 FASTA DNA 1 6949 6949 6949 6949
Axial_Plume_NODE_16073_length_2047_cov_0.817187 FASTA DNA 1 2047 2047 2047 2047
Axial_Plume_NODE_16088_length_2046_cov_2.172486 FASTA DNA 1 2046 2046 2046 2046
Axial_Plume_NODE_16109_length_2045_cov_0.566736 FASTA DNA 1 2045 2045 2045 2045
Axial_Plume_NODE_1610_length_6944_cov_1.472935 FASTA DNA 1 6944 6944 6944 6944
Axial_Plume_NODE_16151_length_2042_cov_0.710705 FASTA DNA 1 2042 2042 2042 2042
Axial_Plume_NODE_16156_length_2042_cov_0.240731 FASTA DNA 1 2042 2042 2042 2042
Axial_Plume_NODE_16178_length_2040_cov_1.356508 FASTA DNA 1 2040 2040 2040 2040
Axial_Plume_NODE_16183_length_2040_cov_1.091479 FASTA DNA 1 2040 2040 2040 2040
Axial_Plume_NODE_16186_length_2040_cov_0.867224 FASTA DNA 1 2040 2040 2040 2040
Axial_Plume_NODE_16494_length_2022_cov_0.148285 FASTA DNA 1 2022 2022 2022 2022
Axial_Plume_NODE_16593_length_2016_cov_0.401800 FASTA DNA 1 2016 2016 2016 2016
Axial_Plume_NODE_1661_length_6831_cov_1.223150 FASTA DNA 1 6831 6831 6831 6831
Axial_Plume_NODE_16628_length_2014_cov_0.301007 FASTA DNA 1 2014 2014 2014 2014
Axial_Plume_NODE_16708_length_2009_cov_1.435707 FASTA DNA 1 2009 2009 2009 2009
Axial_Plume_NODE_1671_length_6812_cov_1.055198 FASTA DNA 1 6812 6812 6812 6812
Axial_Plume_NODE_16754_length_2006_cov_1.112826 FASTA DNA 1 2006 2006 2006 2006
Axial_Plume_NODE_16790_length_2004_cov_1.192328 FASTA DNA 1 2004 2004 2004 2004
Axial_Plume_NODE_1680_length_6777_cov_1.123759 FASTA DNA 1 6777 6777 6777 6777
Axial_Plume_NODE_1684_length_6766_cov_1.678717 FASTA DNA 1 6766 6766 6766 6766
Axial_Plume_NODE_16895_length_2000_cov_0.587293 FASTA DNA 1 2000 2000 2000 2000
Axial_Plume_NODE_16899_length_2000_cov_0.213561 FASTA DNA 1 2000 2000 2000 2000
Axial_Plume_NODE_1693_length_6745_cov_1.461620 FASTA DNA 1 6745 6745 6745 6745
Axial_Plume_NODE_16958_length_1996_cov_0.302836 FASTA DNA 1 1996 1996 1996 1996
Axial_Plume_NODE_16976_length_1994_cov_0.806642 FASTA DNA 1 1994 1994 1994 1994
Axial_Plume_NODE_16982_length_1994_cov_0.455811 FASTA DNA 1 1994 1994 1994 1994
Axial_Plume_NODE_17022_length_1992_cov_0.445040 FASTA DNA 1 1992 1992 1992 1992
Axial_Plume_NODE_17023_length_1992_cov_0.423592 FASTA DNA 1 1992 1992 1992 1992
Axial_Plume_NODE_17185_length_1982_cov_0.884636 FASTA DNA 1 1982 1982 1982 1982
Axial_Plume_NODE_17204_length_1981_cov_1.380259 FASTA DNA 1 1981 1981 1981 1981
Axial_Plume_NODE_17218_length_1981_cov_0.193096 FASTA DNA 1 1981 1981 1981 1981
Axial_Plume_NODE_17253_length_1979_cov_0.530238 FASTA DNA 1 1979 1979 1979 1979
Axial_Plume_NODE_17259_length_1979_cov_0.356371 FASTA DNA 1 1979 1979 1979 1979
Axial_Plume_NODE_17260_length_1978_cov_6.891950 FASTA DNA 1 1978 1978 1978 1978
Axial_Plume_NODE_17266_length_1978_cov_1.069692 FASTA DNA 1 1978 1978 1978 1978
Axial_Plume_NODE_17272_length_1978_cov_0.742301 FASTA DNA 1 1978 1978 1978 1978
Axial_Plume_NODE_17378_length_1973_cov_0.602925 FASTA DNA 1 1973 1973 1973 1973
Axial_Plume_NODE_17401_length_1972_cov_0.784282 FASTA DNA 1 1972 1972 1972 1972
Axial_Plume_NODE_17438_length_1970_cov_3.326641 FASTA DNA 1 1970 1970 1970 1970
Axial_Plume_NODE_17491_length_1968_cov_0.592613 FASTA DNA 1 1968 1968 1968 1968
Axial_Plume_NODE_17493_length_1968_cov_0.494297 FASTA DNA 1 1968 1968 1968 1968
Axial_Plume_NODE_17513_length_1967_cov_0.934783 FASTA DNA 1 1967 1967 1967 1967
Axial_Plume_NODE_17594_length_1963_cov_0.254902 FASTA DNA 1 1963 1963 1963 1963
Axial_Plume_NODE_17595_length_1963_cov_0.239651 FASTA DNA 1 1963 1963 1963 1963
Axial_Plume_NODE_17623_length_1961_cov_0.520720 FASTA DNA 1 1961 1961 1961 1961
Axial_Plume_NODE_17640_length_1960_cov_0.715767 FASTA DNA 1 1960 1960 1960 1960
Axial_Plume_NODE_17661_length_1959_cov_0.478712 FASTA DNA 1 1959 1959 1959 1959
Axial_Plume_NODE_17721_length_1956_cov_0.409513 FASTA DNA 1 1956 1956 1956 1956
Axial_Plume_NODE_17722_length_1956_cov_0.277747 FASTA DNA 1 1956 1956 1956 1956
Axial_Plume_NODE_17739_length_1955_cov_0.282276 FASTA DNA 1 1955 1955 1955 1955
Axial_Plume_NODE_17817_length_1951_cov_0.479715 FASTA DNA 1 1951 1951 1951 1951
Axial_Plume_NODE_17830_length_1950_cov_0.949534 FASTA DNA 1 1950 1950 1950 1950
Axial_Plume_NODE_17836_length_1950_cov_0.486012 FASTA DNA 1 1950 1950 1950 1950
Axial_Plume_NODE_17859_length_1949_cov_0.295280 FASTA DNA 1 1949 1949 1949 1949
Axial_Plume_NODE_17860_length_1949_cov_0.287047 FASTA DNA 1 1949 1949 1949 1949
Axial_Plume_NODE_17886_length_1947_cov_0.643407 FASTA DNA 1 1947 1947 1947 1947
Axial_Plume_NODE_17946_length_1944_cov_5.301596 FASTA DNA 1 1944 1944 1944 1944
Axial_Plume_NODE_17968_length_1944_cov_0.384700 FASTA DNA 1 1944 1944 1944 1944
Axial_Plume_NODE_18023_length_1941_cov_0.415105 FASTA DNA 1 1941 1941 1941 1941
Axial_Plume_NODE_18051_length_1939_cov_0.587196 FASTA DNA 1 1939 1939 1939 1939
Axial_Plume_NODE_1805_length_6485_cov_1.390689 FASTA DNA 1 6485 6485 6485 6485
Axial_Plume_NODE_18109_length_1935_cov_1.435288 FASTA DNA 1 1935 1935 1935 1935
Axial_Plume_NODE_18148_length_1933_cov_0.868217 FASTA DNA 1 1933 1933 1933 1933
Axial_Plume_NODE_18177_length_1932_cov_0.189474 FASTA DNA 1 1932 1932 1932 1932
Axial_Plume_NODE_18197_length_1931_cov_0.255543 FASTA DNA 1 1931 1931 1931 1931
Axial_Plume_NODE_18253_length_1928_cov_0.657413 FASTA DNA 1 1928 1928 1928 1928
Axial_Plume_NODE_18255_length_1928_cov_0.498612 FASTA DNA 1 1928 1928 1928 1928
Axial_Plume_NODE_18292_length_1926_cov_0.834908 FASTA DNA 1 1926 1926 1926 1926
Axial_Plume_NODE_18331_length_1924_cov_1.002226 FASTA DNA 1 1924 1924 1924 1924
Axial_Plume_NODE_18335_length_1924_cov_0.700612 FASTA DNA 1 1924 1924 1924 1924
Axial_Plume_NODE_1835_length_6432_cov_1.190801 FASTA DNA 1 6432 6432 6432 6432
Axial_Plume_NODE_18361_length_1923_cov_0.443764 FASTA DNA 1 1923 1923 1923 1923
Axial_Plume_NODE_18471_length_1918_cov_0.790061 FASTA DNA 1 1918 1918 1918 1918
Axial_Plume_NODE_18473_length_1918_cov_0.706868 FASTA DNA 1 1918 1918 1918 1918
Axial_Plume_NODE_18505_length_1916_cov_0.979318 FASTA DNA 1 1916 1916 1916 1916
Axial_Plume_NODE_18529_length_1915_cov_0.738255 FASTA DNA 1 1915 1915 1915 1915
Axial_Plume_NODE_18565_length_1913_cov_0.433931 FASTA DNA 1 1913 1913 1913 1913
Axial_Plume_NODE_18716_length_1906_cov_0.856099 FASTA DNA 1 1906 1906 1906 1906
Axial_Plume_NODE_18793_length_1903_cov_0.569257 FASTA DNA 1 1903 1903 1903 1903
Axial_Plume_NODE_18839_length_1901_cov_0.430665 FASTA DNA 1 1901 1901 1901 1901
Axial_Plume_NODE_18920_length_1897_cov_0.985876 FASTA DNA 1 1897 1897 1897 1897
Axial_Plume_NODE_18968_length_1895_cov_0.626697 FASTA DNA 1 1895 1895 1895 1895
Axial_Plume_NODE_18979_length_1894_cov_1.293152 FASTA DNA 1 1894 1894 1894 1894
Axial_Plume_NODE_19010_length_1893_cov_0.938279 FASTA DNA 1 1893 1893 1893 1893
Axial_Plume_NODE_1910_length_6277_cov_2.083252 FASTA DNA 1 6277 6277 6277 6277
Axial_Plume_NODE_19188_length_1885_cov_0.249147 FASTA DNA 1 1885 1885 1885 1885
Axial_Plume_NODE_1920_length_6254_cov_1.602905 FASTA DNA 1 6254 6254 6254 6254
Axial_Plume_NODE_19300_length_1880_cov_0.951512 FASTA DNA 1 1880 1880 1880 1880
Axial_Plume_NODE_19301_length_1880_cov_0.679407 FASTA DNA 1 1880 1880 1880 1880
Axial_Plume_NODE_19367_length_1877_cov_1.465143 FASTA DNA 1 1877 1877 1877 1877
Axial_Plume_NODE_19476_length_1873_cov_0.363116 FASTA DNA 1 1873 1873 1873 1873
Axial_Plume_NODE_19483_length_1872_cov_0.910029 FASTA DNA 1 1872 1872 1872 1872
Axial_Plume_NODE_19518_length_1870_cov_0.581182 FASTA DNA 1 1870 1870 1870 1870
Axial_Plume_NODE_19579_length_1867_cov_0.408621 FASTA DNA 1 1867 1867 1867 1867
Axial_Plume_NODE_19596_length_1866_cov_0.424957 FASTA DNA 1 1866 1866 1866 1866
Axial_Plume_NODE_19605_length_1865_cov_0.845224 FASTA DNA 1 1865 1865 1865 1865
Axial_Plume_NODE_19696_length_1861_cov_0.948674 FASTA DNA 1 1861 1861 1861 1861
Axial_Plume_NODE_19725_length_1860_cov_0.214080 FASTA DNA 1 1860 1860 1860 1860
Axial_Plume_NODE_19789_length_1856_cov_1.226142 FASTA DNA 1 1856 1856 1856 1856
Axial_Plume_NODE_19877_length_1853_cov_0.471611 FASTA DNA 1 1853 1853 1853 1853
Axial_Plume_NODE_1995_length_6137_cov_1.704659 FASTA DNA 1 6137 6137 6137 6137
Axial_Plume_NODE_19991_length_1848_cov_0.486926 FASTA DNA 1 1848 1848 1848 1848
Axial_Plume_NODE_2000_length_6123_cov_1.818379 FASTA DNA 1 6123 6123 6123 6123
Axial_Plume_NODE_20044_length_1846_cov_0.410704 FASTA DNA 1 1846 1846 1846 1846
Axial_Plume_NODE_20075_length_1844_cov_0.565521 FASTA DNA 1 1844 1844 1844 1844
Axial_Plume_NODE_20173_length_1840_cov_0.450088 FASTA DNA 1 1840 1840 1840 1840
Axial_Plume_NODE_20174_length_1840_cov_0.434910 FASTA DNA 1 1840 1840 1840 1840
Axial_Plume_NODE_20231_length_1838_cov_0.382817 FASTA DNA 1 1838 1838 1838 1838
Axial_Plume_NODE_20279_length_1836_cov_0.379754 FASTA DNA 1 1836 1836 1836 1836
Axial_Plume_NODE_20282_length_1836_cov_0.102399 FASTA DNA 1 1836 1836 1836 1836
Axial_Plume_NODE_20355_length_1832_cov_0.922581 FASTA DNA 1 1832 1832 1832 1832
Axial_Plume_NODE_20362_length_1832_cov_0.441642 FASTA DNA 1 1832 1832 1832 1832
Axial_Plume_NODE_20436_length_1829_cov_0.424794 FASTA DNA 1 1829 1829 1829 1829
Axial_Plume_NODE_20459_length_1828_cov_0.525573 FASTA DNA 1 1828 1828 1828 1828
Axial_Plume_NODE_2049_length_6051_cov_1.437711 FASTA DNA 1 6051 6051 6051 6051
Axial_Plume_NODE_20530_length_1825_cov_0.806832 FASTA DNA 1 1825 1825 1825 1825
Axial_Plume_NODE_20545_length_1825_cov_0.299176 FASTA DNA 1 1825 1825 1825 1825
Axial_Plume_NODE_20618_length_1821_cov_0.504723 FASTA DNA 1 1821 1821 1821 1821
Axial_Plume_NODE_20657_length_1819_cov_0.552600 FASTA DNA 1 1819 1819 1819 1819
Axial_Plume_NODE_20695_length_1818_cov_0.454760 FASTA DNA 1 1818 1818 1818 1818
Axial_Plume_NODE_20774_length_1814_cov_0.670421 FASTA DNA 1 1814 1814 1814 1814
Axial_Plume_NODE_20813_length_1812_cov_1.410089 FASTA DNA 1 1812 1812 1812 1812
Axial_Plume_NODE_20830_length_1812_cov_0.414243 FASTA DNA 1 1812 1812 1812 1812
Axial_Plume_NODE_20913_length_1809_cov_0.688466 FASTA DNA 1 1809 1809 1809 1809
Axial_Plume_NODE_20997_length_1806_cov_0.986897 FASTA DNA 1 1806 1806 1806 1806
Axial_Plume_NODE_21008_length_1806_cov_0.434187 FASTA DNA 1 1806 1806 1806 1806
Axial_Plume_NODE_21142_length_1800_cov_1.471608 FASTA DNA 1 1800 1800 1800 1800
Axial_Plume_NODE_2121_length_5934_cov_1.204408 FASTA DNA 1 5934 5934 5934 5934
Axial_Plume_NODE_21336_length_1793_cov_1.079232 FASTA DNA 1 1793 1793 1793 1793
Axial_Plume_NODE_21365_length_1792_cov_7.857658 FASTA DNA 1 1792 1792 1792 1792
Axial_Plume_NODE_21377_length_1792_cov_0.945946 FASTA DNA 1 1792 1792 1792 1792
Axial_Plume_NODE_2142_length_5902_cov_5.491255 FASTA DNA 1 5902 5902 5902 5902
Axial_Plume_NODE_21468_length_1789_cov_0.525872 FASTA DNA 1 1789 1789 1789 1789
Axial_Plume_NODE_21493_length_1788_cov_0.701987 FASTA DNA 1 1788 1788 1788 1788
Axial_Plume_NODE_21551_length_1786_cov_0.901748 FASTA DNA 1 1786 1786 1786 1786
Axial_Plume_NODE_21600_length_1784_cov_0.351237 FASTA DNA 1 1784 1784 1784 1784
Axial_Plume_NODE_21644_length_1782_cov_0.297885 FASTA DNA 1 1782 1782 1782 1782
Axial_Plume_NODE_2169_length_5854_cov_1.474419 FASTA DNA 1 5854 5854 5854 5854
Axial_Plume_NODE_21706_length_1780_cov_0.243194 FASTA DNA 1 1780 1780 1780 1780
Axial_Plume_NODE_21741_length_1778_cov_0.771654 FASTA DNA 1 1778 1778 1778 1778
Axial_Plume_NODE_21776_length_1777_cov_0.459394 FASTA DNA 1 1777 1777 1777 1777
Axial_Plume_NODE_21857_length_1774_cov_0.590164 FASTA DNA 1 1774 1774 1774 1774
Axial_Plume_NODE_21859_length_1774_cov_0.567092 FASTA DNA 1 1774 1774 1774 1774
Axial_Plume_NODE_22029_length_1767_cov_0.404878 FASTA DNA 1 1767 1767 1767 1767
Axial_Plume_NODE_22057_length_1766_cov_0.344112 FASTA DNA 1 1766 1766 1766 1766
Axial_Plume_NODE_2208_length_5786_cov_1.327443 FASTA DNA 1 5786 5786 5786 5786
Axial_Plume_NODE_22104_length_1764_cov_0.495418 FASTA DNA 1 1764 1764 1764 1764
Axial_Plume_NODE_22155_length_1762_cov_0.177370 FASTA DNA 1 1762 1762 1762 1762
Axial_Plume_NODE_2216_length_5777_cov_0.782301 FASTA DNA 1 5777 5777 5777 5777
Axial_Plume_NODE_22212_length_1760_cov_0.294550 FASTA DNA 1 1760 1760 1760 1760
Axial_Plume_NODE_22316_length_1756_cov_0.331492 FASTA DNA 1 1756 1756 1756 1756
Axial_Plume_NODE_2244_length_5748_cov_1.176837 FASTA DNA 1 5748 5748 5748 5748
Axial_Plume_NODE_22467_length_1750_cov_0.861368 FASTA DNA 1 1750 1750 1750 1750
Axial_Plume_NODE_22500_length_1749_cov_0.452528 FASTA DNA 1 1749 1749 1749 1749
Axial_Plume_NODE_22538_length_1748_cov_0.257249 FASTA DNA 1 1748 1748 1748 1748
Axial_Plume_NODE_22596_length_1746_cov_0.287214 FASTA DNA 1 1746 1746 1746 1746
Axial_Plume_NODE_22728_length_1742_cov_0.168421 FASTA DNA 1 1742 1742 1742 1742
Axial_Plume_NODE_22956_length_1733_cov_0.635118 FASTA DNA 1 1733 1733 1733 1733
Axial_Plume_NODE_23043_length_1730_cov_0.591391 FASTA DNA 1 1730 1730 1730 1730
Axial_Plume_NODE_2311_length_5645_cov_1.183219 FASTA DNA 1 5645 5645 5645 5645
Axial_Plume_NODE_23135_length_1726_cov_1.002502 FASTA DNA 1 1726 1726 1726 1726
Axial_Plume_NODE_23154_length_1726_cov_0.383990 FASTA DNA 1 1726 1726 1726 1726
Axial_Plume_NODE_23209_length_1724_cov_0.673137 FASTA DNA 1 1724 1724 1724 1724
Axial_Plume_NODE_23236_length_1723_cov_0.994987 FASTA DNA 1 1723 1723 1723 1723
Axial_Plume_NODE_23300_length_1721_cov_0.597867 FASTA DNA 1 1721 1721 1721 1721
Axial_Plume_NODE_23317_length_1720_cov_0.969240 FASTA DNA 1 1720 1720 1720 1720
Axial_Plume_NODE_23332_length_1720_cov_0.398619 FASTA DNA 1 1720 1720 1720 1720
Axial_Plume_NODE_23342_length_1720_cov_0.212178 FASTA DNA 1 1720 1720 1720 1720
